"data_date";"key";"date";"schools_closed";"schools_closed_perc";"schools_limited";"schools_limited_perc";"schools_limited_distance";"schools_limited_distance_perc";"schools_total";"students_infected";"students_infected_perc";"students_quarantine";"students_quarantine_perc";"students_total";"teacher_infected";"teacher_infected_perc";"teacher_quarantine";"teacher_quarantine_perc";"teacher_total";"students_perc";"teacher_perc"
"2022-02-03";"bl_by";"2022-02-05";"11";"1,81728068726251e-01";"478";"7,89691062283165e+00";NA;NA;"6053";"56380";"3,47446685914482e+00";"46987";"2,89561501083075e+00";"1622695";"3596";"2,13192311796720e+00";"790";"4,68359083201916e-01";"168674";"3,474466859144817565";"2,13192311796720313"
"2022-02-03";"bl_be";"2022-02-05";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-03";"bl_bb";"2022-02-05";"0";NA;"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";"0";NA;"0";NA;"0";NA;NA
"2022-02-03";"bl_hb";"2022-02-05";"0";"0,00000000000000e+00";"38";"2,69503546099291e+01";"38";"2,69503546099291e+01";"141";"999";"1,47288650370065e+00";"1411";"2,08032317990151e+00";"67826";"42";"4,90253297537061e-01";"72";"8,40434224349247e-01";"8567";"1,472886503700645777";"0,49025329753706082"
"2022-02-03";"bl_hh";"2022-02-09";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"473";"5049";"1,96294165215228e+00";NA;NA;"257216";"229";"1,03723163330012e+00";NA;NA;"22078";"1,962941652152276673";"1,03723163330011792"
"2022-02-03";"bl_he";"2022-02-05";"1";"5,54016620498615e-02";"62";"3,43490304709141e+00";"62";"3,43490304709141e+00";"1805";"19456";"2,55468558170438e+00";"7893";"1,03639665380308e+00";"761581";"1146";"1,85044646461384e+00";"387";"6,24888989359126e-01";"61931";"2,554685581704375430";"1,85044646461384432"
"2022-02-03";"bl_mv";"2022-02-05";"0";"0,00000000000000e+00";"17";"3,40000000000000e+00";"17";"3,40000000000000e+00";"500";"2521";"1,52695336159903e+00";"4484";"2,71592973955179e+00";"165100";"117";"8,73134328358209e-01";"0";"0,00000000000000e+00";"13400";"1,526953361599030945";"0,87313432835820892"
"2022-02-03";"bl_ni";"2022-02-05";"4";"1,24262193227710e-01";"26";"8,07704255980118e-01";NA;NA;"3219";"12431";"1,12933117720806e+00";NA;NA;"1100740";"790";"8,20992465575474e-01";NA;NA;"96225";"1,129331177208060089";"0,82099246557547412"
"2022-02-03";"bl_nw";"2022-02-04";"3";"6,80117887100431e-02";"378";"8,56948537746543e+00";"0";NA;"4411";"95933";"4,72031077400737e+00";"77572";"3,81687164334796e+00";"2032345";"5767";"3,62084986689437e+00";"2114";"1,32728916570395e+00";"159272";"4,720310774007365318";"3,62084986689436894"
"2022-02-03";"bl_rp";"2022-02-05";"0";"0,00000000000000e+00";"116";"7,29559748427673e+00";"116";"7,29559748427673e+00";"1590";"16386";"3,14684508903194e+00";"68504";"1,31558327828051e+01";"520712";"1018";"2,01920025388765e+00";"1602";"3,17756267851476e+00";"50416";"3,146845089031940823";"2,01920025388765501"
